U4  Prelevamento contante < 15.000 euro                                                                                                                                  D1VA09?02?04?03?07?05?06?08?11?13?48?46?81?82         20200324U 
32  Effetti richiamati (per cassa)                                                                                                                                       A4EA02                                                        E 
37  Insoluti RI.BA. (per cassa)                                                                                                                                          A4EA02                                                        E 
44  Addebito o pagamento per utilizzo credito documentario su estero (per cassa)                                                                                         A4DA02                                                        E 
47  Accredito o incasso per utilizzo credito doc. su Italia (per cassa)                                                                                                  D1DA02                                                        U 
53  Addebito per utilizzo credito documentario su Italia (per cassa)                                                                                                     A4DA02                                                        E 
64  Accrediti o incasso effetti presentati allo sconto (per cassa)                                                                                                       D1EA02                                                        U 
BA  Vendita a pronti titoli e diritti di opzione (per cassa)                                                                                                             D1IA02                                                        U 
BA  Vendita a pronti titoli e diritti di opzione (su conto)                                                                                                              A2IA02                                                        E 
BB  Acquisto a pronti titoli e diritti di opzione (per cassa)                                                                                                            A4IA02                                                        E 
BB  Acquisto a pronti titoli e diritti di opzione (su conto)                                                                                                             D3IA02                                                        U 
72  Accredito o incasso per utilizzo credito documentario da estero (per cassa)                                                                                          D1DA02                                                        U 
BE  Sottoscrizione titoli e/o Fondi Comuni (per cassa)                                                                                                                   A4IA02                                                        E 
BE  Sottoscrizione titoli e/o Fondi Comuni (su conto)                                                                                                                    D3IA02                                                        U 
BF  Rimborso Titoli e/o Fondi Comuni (per cassa)                                                                                                                         D1IA02                                                        U 
BF  Rimborso Titoli e/o Fondi Comuni (su conto)                                                                                                                          A2IA02                                                        E 
BI  Erogazione Finanziamento Import (su conto)                                                                                                                           A2FA02                                                        E 
BI  Erogazione Finanziamento Import (per cassa)                                                                                                                          D1FA02                                                        U 
BL  Rimborso Finanziamento Import (su conto)                                                                                                                             D3FA02                                                        U 
BL  Rimborso Finanziamento Import (per cassa)                                                                                                                            A4FA02                                                        E 
BM  Erogazione Finanziamento Export (su conto)                                                                                                                           A2FA02                                                        E 
BM  Erogazione Finanziamento Export (per cassa)                                                                                                                          D1FA02                                                        U 
BN  Rimborso Finanziamento Export (su conto)                                                                                                                             D3FA02                                                        U 
BN  Rimborso Finanziamento Export (per cassa)                                                                                                                            A4FA02                                                        E 
BP  Incasso rimesse documentate da o per l'estero (su conto)                                                                                                             A2DA02                                                        E 
BP  Incasso rimesse documentate da o per l'estero (per cassa)                                                                                                            D1DA02                                                        U 
BQ  Pagamento rimesse documentate da o per l'estero (su conto)                                                                                                           D3DA02                                                        U 
BQ  Pagamento rimesse documentate da o per l'estero (per cassa)                                                                                                          A4DA02                                                        E 
BR  Ritiro Titoli al portatore (solo per cassa)                                                                                                                          D1TA02                                                        U 
BS  Consegna Titoli al portatore (solo per cassa)                                                                                                                        A2TA02                                                        E 
BT  Rimborso su Libretti di Risparmio (solo per cassa)                                                                                                                   D1LA02?08?48                                                  U 
BU  Deposito su Libretto di Risparmio (solo per cassa)                                                                                                                   A2LA02?08?48                                                  E 
BV  Estinzione Certificati di Deposito e Buoni Fruttiferi (su conto)                                                                                                     A2IA02                                                        E 
BV  Estinzione Certificati di Deposito e Buoni Fruttiferi (per cassa)                                                                                                    D1IA02?08?48                                                  U 
BZ  Emissione Certificati di Depositi e Buoni Fruttiferi (su conto)                                                                                                      D3IA02                                                        U 
BZ  Emissione Certificati di Depositi e Buoni Fruttiferi (per cassa)                                                                                                     A4IA02?08?48                                                  E 
C1  Trasferimento Titoli al portatore tra Dossier / Mandati (uscita) (solo su conto)                                                                                     D3TA02?03?07?05?08?48                                         U 
C2  Trasferimento Titoli al portatore tra Dossier / Mandati (immissione) (solo su conto)                                                                                 A4TA02?03?07?05?08?48                                         E 
C3  Trasferimento Titoli al portatore da altro Istituto (solo su conto)                                                                                                  A6TA02?03?07?05                                       20201231E 
C4  Trasferimento Titoli al portatore a altro Istituto (solo su conto)                                                                                                   D5TA02?03?07?05                                       20201231U 
C7  Versamento o consegna di contante e/o titoli al portatore da parte di banche o succursali situate all'estero (su conto e per cassa)                                  A0TA02                                                        E 
C8  Prelievo o ritiro di contante e/o Titoli al portatore da parte di banche o succursali situate all'estero (su conto e per cassa)                                      D9TA02                                                        U 
AF  Disposizione di trasferimento disponibilità stesso intermediario - ordinante                                                                                         D5MA04?46?81?82                                               U 
AF  Disposizione di trasferimento disponibilità stesso intermediario - beneficiario                                                                                      A6MA04?46?81?82                                               E 
C9  Acquisto d'oro e metalli preziosi (su conto)                                                                                                                         D3OA02                                                        U 
C9  Acquisto d'oro e metalli preziosi (per cassa)                                                                                                                        A4OA02                                                        E 
C0  Vendita d'oro e metalli preziosi (su conto)                                                                                                                          A2OA02                                                        E 
C0  Vendita d'oro e metalli preziosi (per cassa)                                                                                                                         D1OA02                                                        U 
24  Incasso di documenti su Italia (per cassa)                                                                                                                           D1DA02                                                        U 
24  Incasso di documenti su Italia (su conto)                                                                                                                            A2DA02                                                        E 
D1  Versamento di contante (solo su conto)                                                                                                                               A2CA02                                                        E 
D6  Accredito o incasso per contratti derivati (per cassa)                                                                                                               D5IA02                                                        U 
D6  Accredito o incasso per contratti derivati (su conto)                                                                                                                A6IA02                                                        E 
D7  Addebito o pagamento per contratti derivati (per cassa)                                                                                                              A8IA02                                                        E 
D7  Addebito o pagamento per contratti derivati (su conto)                                                                                                               D7IA02                                                        U 
D8  Estinzione polizze assicurative ramo vita (su conto)                                                                                                                 A2IA02                                                        E 
D8  Estinzione polizze assicurative ramo vita (per cassa)                                                                                                                D1IA02                                                        U 
D9  Sottoscrizione polizze assicurative ramo vita (su conto)                                                                                                             D3IA02                                                        U 
D9  Sottoscrizione polizze assicurative ramo vita (per cassa)                                                                                                            A4IA02                                                        E 
DB  Vendita banconote estere contro euro (su conto)                                                                                                                      A6OA02?17?X2                                                  E 
DC  Acquisto banconote estere contro euro (per cassa)                                                                                                                    D7OA02?11?13?17?X2                                            U 
F1  Incasso assegno circolare altro intermediario (per cassa)                                                                                                            D5CA02                                                        U 
F2  Incasso assegno circolare stesso intermediario (per cassa)                                                                                                           D6CA02                                                        U 
F3  Cambio Assegni tratti su altro intermediario (per cassa)                                                                                                             D3CA02                                                        U 
F4  Cambio assegni tratti sullo stesso intermediario  (per cassa)                                                                                                        D4CA02                                                        U 
G1  Versamento assegni tratti su altro intermediario (solo su conto)                                                                                                     A2AA02                                                        E 
G2  Versamento assegni tratti sullo stesso intermediario (solo su conto)                                                                                                 A4AA02                                                        E 
G3  Versamento titoli di credito tratti su altro intermediario con resto (solo su conto)                                                                                 A2AA02                                                        E 
G4  Versamento titoli di credito tratti sutlo stesso intermediario con resto (solo su conto)                                                                             A4AA02                                                        E 
G5  Versamento titoli di credito e contante (residuale) (solo su conto)                                                                                                  A6AA02                                                20200324E 
G7  Versamento assegno circolare altro intermediario (solo su conto)                                                                                                     A8AA02                                                        E 
G8  Versamento assegno circolare stesso intermediario (solo su conto)                                                                                                    A0AA02                                                        E 
59  Pagamento  o disposizione a mezzo sportello automatico                                                                                                               A  A02                                                        E 
59  Pagamento  o disposizione a mezzo sport. aut. (solo su conto)                                                                                                        D3PA02                                                        U 
25  Pagamento di documenti su Italia (per cassa)                                                                                                                         A4DA02                                                        E 
25  Pagamento di documenti su Italia (su conto)                                                                                                                          D3DA02                                                        U 
S1  Autentica di girate per titoli azionari (cedente)                                                                                                                    D3TA02?03?07?05                                               U 
S2  Autentica di girate per titoli azionari (cessionario)                                                                                                                A4TA02?03?07?05                                               E 
DG  Cambio Taglio Banconote                                                                                                                                              A0XA02                                                        E 
48  Afflusso disponibilità a mezzo bonifico interno                                                                                                                      A4MA09?03?07?05?06?11?13?04?15?82?49                          E 
AA  Afflusso disponibilità a mezzo bonifico dall'estero                                                                                                                  A4MA09?03?07?05?06?08?11?13?04?48?46?81?82?49                 E 
L1  Afflusso di disponibilità mediante mezzi di pagamento                                                                                                                A  A15                                                        E 
I2  Deflusso disponibilità a mezzo titoli di credito e contante                                                                                                          D1MA09?03?07?05?06?08?11?13?04?48?46?81?82?49                 U 
26  Deflusso Disponibilità a mezzo bonifico interno                                                                                                                      D3MA09?03?07?05?06?11?13?04?15?82?49                          U 
AA  Deflusso disponibilità a mezzo bonifico dall'estero                                                                                                                  D3MA09?03?07?05?06                                            U 
D9  Sottoscrizione polizze assicurative                                                                                                                                  A2SA09?08?48                                          20131231E 
D8  Estinzione polizze assicurative                                                                                                                                      D1SA09?08?48                                          20131231U 
I5  Pagamento relativo a servizi accessori                                                                                                                               A0SA06?11?13                                                  E 
I6  Rimborso relativo a servizi accessori                                                                                                                                D9SA06?11?13                                                  U 
13  Addebito per estinzione assegno (solo su conto)                                                                                                                      D1AA02                                                        U 
48  Afflusso disponibilità a mezzo bonifico / ordini di accreditamento domestico                                                                                         A4MA08?48?46?81                                               E 
26  Deflusso Disponibilità a mezzo bonifico / ordini di pagamento domestico                                                                                              D3MA08?48?46?81                                               U 
AA  Deflusso disponibilità a mezzo bonifico verso l'estero                                                                                                               D3MA08?11?13?04?48?46?81?82?49                                U 
C3  Trasferimento Titoli al portatore da Banche o Poste Italiane SpA                                                                                                     A56A08?48                                                     E 
C4  Trasferimento Titoli al portatore a Banche o Poste Italiane SpA                                                                                                      D57A08?48                                                     U 
L2  Accredito disponibilità per vincita                                                                                                                                  D  A15                                                20131231U 
L3  Addebito per giochi, scommesse e concorsi pronostici                                                                                                                 A  A15                                                20131231E 
59  Incasso di mandato di pagamento                                                                                                                                      D  A01                                                        U 
33  Emissione di assegni di traenza (per cassa)                                                                                                                          D3AA02                                                        U 
AF  Disposizione di trasferimento tra rapporti stesso intermediario - beneficiario (solo su conto)                                                                       A4BA02                                                        E 
AF  Disposizione di trasferimento tra conti stesso intermediario - ordinante (solo su conto)                                                                             D3BA02                                                        U 
BJ  Conferimento a gestioni patrimoniali (per cassa)                                                                                                                     A4IA02                                                        E 
BJ  Conferimento a gestioni patrimoniali (su conto)                                                                                                                      D3IA02                                                        U 
BK  Rimborso da gestioni patrimoniali (su conto)                                                                                                                         A2IA02                                                        E 
BK  Rimborso da gestioni patrimoniali (per cassa)                                                                                                                        D1IA02                                                        U 
BG  Rimborso pronti contro termine (per cassa)                                                                                                                           D1IA02?08?48                                                  U 
BG  Rimborso pronti contro termine (su conto)                                                                                                                            A2IA02                                                        E 
BH  Sottoscrizione pronti contro termine (per cassa)                                                                                                                     A4IA02?08?48                                                  E 
BH  Sottoscrizione pronti contro termine (su conto)                                                                                                                      D3IA02                                                        U 
C5  Immissione dossier titoli a fronte conto diversamente intestato                                                                                                      A8TA02                                                        E 
C6  Uscita dossier titoli a fronte conto diversamente intestato                                                                                                          D7TA02                                                        U 
U2  Consegna mezzi di pagamento da parte di clientela                                                                                                                    A2XA02                                                        E 
U2  Ritiro di mezzi di pagamento da parte di clientela                                                                                                                   D1XA02                                                        U 
P9  Sottoscrizione di fondi pensione                                                                                                                                     A2SA09                                                20131231E 
AF  Trasferimento di disponibilità tra conti di evidenza - beneficiario                                                                                                  A6MA03?07?05                                                  E 
AF  Trasferimento di disponibilità tra conti di evidenza - ordinante                                                                                                     D5MA03?07?05                                                  U 
I5  Pagamento relativo a servizi accessori                                                                                                                               A0SA03?07?05?04?82?49                                         E 
I6  Rimborso connesso a servizi accessori                                                                                                                                D9SA03?07?05?04?82?49                                         U 
AF  Trasferimento di disponibilità tra mandati fiduciari - beneficiario                                                                                                  A6MA08?48                                                     E 
AF  Trasferimento di disponibilità tra mandati fiduciari - ordinante                                                                                                     D5MA08?48                                                     U 
I7  Emissione / ricarica mediante carte di credito                                                                                                                       A8MA04                                                          
DO  Pagamento con utilizzo di moneta elettronica                                                                                                                         D7SA04?82                                                     U 
10  Emissioni assegni circolari e titoli similari, vaglia (su conto)                                                                                                     D5AA02                                                        U 
33  Emissione di assegni di traenza (su conto)                                                                                                                           D5AA02                                                        U 
51  Emissioni assegni turistici (su conto)                                                                                                                               D5AA02                                                        U 
26  Bonifico in partenza (per cassa)                                                                                                                                     D5BA02                                                        U 
AA  Bonifico per l'estero (per cassa)                                                                                                                                    D5BA02?15                                                     U 
48  Bonifico in arrivo (per cassa)                                                                                                                                       A6BA02                                                        E 
AA  Bonifico dall'estero (per cassa)                                                                                                                                     A6BA02                                                        E 
27  Emolumenti (su conto)                                                                                                                                                A2PA02                                                        E 
46  Incasso di mandato di pagamento (su conto)                                                                                                                           A2PA02                                                        E 
DB  Vendita banconote estere contro euro (per cassa)                                                                                                                     A8OA02?11?13?17?X2                                            E 
14  Cedole, dividendi e premi estratti                                                                                                                                   D1SA03?07?05?11?13?08?48                                      U 
BA  Vendita a pronti titoli e diritti di opzione                                                                                                                         D1SA03?07?05?08?11?13?48                                      U 
BB  Acquisto a pronti titoli e diritti di opzione                                                                                                                        A2SA03?07?05?08?11?13?48                                      E 
BE  Sottoscrizione titoli e/o Fondi Comuni                                                                                                                               A2SA03?07?05?08?11?13?48                                      E 
BF  Rimborso Titoli e/o Fondi Comuni                                                                                                                                     D1SA03?07?05?08?11?13?48                                      U 
BJ  Conferimento a gestioni patrimoniali                                                                                                                                 A2SA03?07?05?08?48                                            E 
BK  Rimborso da gestioni patrimoniali (per cassa)                                                                                                                        D1SA03?07?05?08?48                                            U 
D6  Accredito-incasso per contratti derivati                                                                                                                             D3SA03?07?05?08?11?13?48                                      U 
D7  Addebito-pagamento per contratti derivati                                                                                                                            A4SA03?07?05?08?11?13?48                                      E 
15  Rimborso finanziamenti                                                                                                                                               A6SA11?13?46?08?48?47?16?81?07                                   E 
74  Pagamento Canone Leasing                                                                                                                                             A6SA11?13                                                     E 
A7  Erogazione finanziamenti diversi e prestiti personali                                                                                                                D5SA11?13?46?08?48?18?47?16?81?07                             U 
54  Incassi diversi  (su conto)                                                                                                                                          A2PA02                                                        E 
54  Incassi diversi  (per cassa)                                                                                                                                         D1PA02                                                        U 
I4  Deflusso disponibilità in contante tramite Banche o Poste Italiane SpA , IP o Imel                                                                                   D1MA09?03?07?06?08?11?13?04?48?46?81?82?49                    U 
H1  Sottoscrizione capitale per costituzione società                                                                                                                     A2KA08?48                                                     E 
H2  Aumento capitale                                                                                                                                                     A2KA08?48                                                     E 
H3  Rimborso capitale                                                                                                                                                    D1KA08?48                                                     U 
H4  Finanziamento Soci                                                                                                                                                   A2KA08?48                                                     E 
H5  Rimborso finanziamento Soci                                                                                                                                          D1KA08?48                                                     U 
I7  Afflusso mediante carte di pagamento / carte di credito                                                                                                              A8MA46?04?81?82                                               E 
I8  Afflusso disponibilità mediante rimessa di fondi                                                                                                                     A2MA46?81                                             20201231E 
I9  Deflusso disponibilità mediante rimessa di fondi                                                                                                                     D1MA46?81                                             20201231U 
49  Deflusso per utilizzo carte di pagamento                                                                                                                             D7MA46?81                                                     U 
54  Incassi diversi                                                                                                                                                      D9SA03?07?08?48?16                                            U 
I0  Afflusso disponibilità mediante circuiti internazionali di pagamento                                                                                                 A2MA04?82                                                     E 
50  Pagamenti diversi (per cassa)                                                                                                                                        A0SA01?03?07?08?48?16                                         E 
Y1  Acquisto per Operatori ORO                                                                                                                                           DY1AX1?X2                                                     U 
Y2  Vendita per Operatori ORO                                                                                                                                            AY2AX1?X2                                                     E 
DP  Versamento di contante da gestore di contante                                                                                                                        A2CA02                                                        U 
DQ  Prelevamento di contante da gestore di contante                                                                                                                      D2CA02                                                20201231U 
I8  Afflusso disponibilità mediante rimessa di fondi (valida dal 01-01-2021)                                                                                             A2RA46?81                                                     E 
I9  Deflusso disponibilità mediante rimessa di fondi (valida dal 01-01-2021)                                                                                             D1RA46?81                                                     U 
DQ  Prelevamento di contante da gestore di contante (valida dal 01-01-2021)                                                                                              D1CA02                                                        U 
58  Esecuzione di reversali (su conto) (valida dal 01-01-2021)                                                                                                           D3PA02                                                        U 
30  Incasso effetti al S.B.F. (per cassa) (valida dal 01-01-2021)                                                                                                        D1EA02                                                        U 
DC  Acquisto banconote estere contro euro (su conto) (valida dal 01-01-2021)                                                                                             D5OA02?17?X2                                                  U 
45  Pagamento per utilizzo carte di credito (valida dal 01-01-2021)                                                                                                      A8SA02?17?X2                                                  E 
BG  Rimborso pronti contro termine (valida dal 01-01-2021)                                                                                                               D1SA03?07?05?11?13?08?48                                      U 
BV  Estinzione certificati di deposito, buoni fruttiferi (valida dal 01-01-2021)                                                                                         D1SA03?07?05?11?13?08?48                                      U 
D8  Estinzione polizze assicurative ramo vita (valida dal 01-01-2021)                                                                                                    D1SA03?07?05?11?13?08?48                                      U 
BH  Sottoscrizione pronti contro termine (valida dal 01-01-2021)                                                                                                         A2SA03?07?05?11?13?08?48                                      E 
BZ  Emissione certificati di deposito, buoni fruttiferi (valida dal 01-01-2021)                                                                                          A2SA03?07?05?11?13?08?48                                      E 
D9  Sottoscrizione polizze assicurative ramo vita (valida dal 01-01-2021)                                                                                                A2SA03?07?05?11?13?08?48                                      E 
8001Recupero Crediti (conferimento incarico)                                                                                                                             A  A30                                                        E 
8002Recupero Crediti (riscossione del credito)                                                                                                                           A  A30                                                        E 
8099Recupero Crediti (altro)                                                                                                                                             A  A30                                                        E 
8101Custodia di contanti, titoli o valori - deposito                                                                                                                     A  A31?32                                                     E 
8102Custodia di contanti, titoli o valori - ritiro - eseguire la registrazione SOLO SE I SOGGETTI SONO DIVERSI rispetto al deposito                                      A  A31?32                                                     E 
8103Trasposto di contanti, titoli o valori                                                                                                                               A  A31?32                                                     E 
8199Custodia di contanti, titoli o valori (altro)                                                                                                                        A  A31?32                                                     E 
8201Mediazione immobiliare - conclusione del contratto preliminare                                                                                                       A  A33                                                        E 
8202Mediazione immobiliare - conclusione del contratto definitivo                                                                                                        A  A33                                                        E 
8299Mediazione immobiliare - altro                                                                                                                                       A  A33                                                        E 
8301Commercio di cose antiche, acquisto                                                                                                                                  A  A34?35                                                     E 
8302Attivita' di casa d'asta, acquisto                                                                                                                                   A  A34?35                                                     E 
8303Attivita' di gallerie d'arte, acquisto                                                                                                                               A  A34?35                                                     E 
8304Commercio di cose antiche, vendita                                                                                                                                   A  A34?35                                                     E 
8305Attivita' di casa d'asta, vendita                                                                                                                                    A  A34?35                                                     E 
8306Attivita' di gallerie d'arte, vendita                                                                                                                                A  A34?35                                                     E 
8401Acquisto di oro                                                                                                                                                      A  A36?37?39                                                  E 
8402Vendita di oro                                                                                                                                                       A  A36?37?39                                                  E 
8403Importazione di oro                                                                                                                                                  A  A36?37?39                                                  E 
8404Esportazione di oro                                                                                                                                                  A  A36?37?39                                                  E 
8405Acquisto di preziosi                                                                                                                                                 A  A36?37?39                                                  E 
8406Vendita di preziosi                                                                                                                                                  A  A36?37?39                                                  E 
8407Mediazione di preziosi                                                                                                                                               A  A36?37?39                                                  E 
8408Importazione di preziosi                                                                                                                                             A  A36?37?39                                                  E 
8409Esportazione di preziosi                                                                                                                                             A  A36?37?39                                                  E 
8501Acquisto di fiches o altri mezzi da gioco                                                                                                                            A  A38                                                        E 
8502Vendita di fiches o altri mezzi da gioco                                                                                                                             A  A38                                                        E 
8601Mediazione Creditizia per concessione del finanziamento nella forma di locazione finanziaria                                                                         A  A40                                                        E 
8602Mediazione Creditizia per concessione del finanziamento nella forma di acquisto crediti                                                                              A  A40                                                        E 
8603Mediazione Creditizia per concessione del finanziamento nella forma di credito al consumo cosi come definito da l'art. 121 del TUB, fatta eccezione per la forma tecnA  A40                                                        E 
8604Mediazione Creditizia per concessione del finanziamento nella forma di credito ipotecario                                                                            A  A40                                                        E 
8605Mediazione Creditizia per concessione del finanziamento nella forma di prestito su pegno                                                                             A  A40                                                        E 
8606Mediazione Creditizia per concessione del finanziamento nella forma di rilascio di fidejussioni, avalli, aperture di credito documentate, accettazioni, girate, nonchA  A40                                                        E 
8699Mediazione Creditizia per concessione del finanziamento di altra forma                                                                                               A  A40                                                        E 
8701Conclusione del contratto di finanziamento nella forma di locazione finanziaria                                                                                      A  A41                                                        E 
8702Conclusione del contratto di finanziamento nella forma di acquisto di crediti                                                                                        A  A41                                                        E 
8703Conclusione del contratto di finanziamento nella forma di credito al consumo cosi come definito da l'art. 121 del TUB, fatta eccezione per la forma tecnica della di A  A41                                                        E 
8704Conclusione del contratto di finanziamento nella forma di credito ipotecario                                                                                         A  A41                                                        E 
8705Conclusione del contratto di finanziamento nella forma di prestito su pegno                                                                                          A  A41                                                        E 
8706Conclusione del contratto di finanziamento nella forma di rilascio di fidejussioni, avalli, aperture di credito documentate, accettazioni, girate, nonchè impegni a  A  A41                                                        E 
8707Conclusione del contratto per attività di negoziazione valuta a pronti o a termine                                                                                   A  A41                                                        E 
8708Conclusione del contratto di finanziamento nella forma di prestito su pegno                                                                                          A  A41                                                        E 
8709Conclusione del contratto di prestazione di servizi di pagamento nella forma di incasso e trasferimento di fondi                                                     A  A41                                                        E 
8710Conclusione del contratto di prestazione di servizi di pagamento nella forma di trasmissione o esecuzione di ordini di pagamento, anche tramite addebiti o accerditi,A  A41                                                        E 
8711Conclusione del contratto di prestazione di servizi di pagamento nella forma di compensazione di debiti e crediti                                                    A  A41                                                        E 
8712Conclusione del contratto di prestazione di servizi di pagamento avente ad oggetto l'emissione o gestione di carte di credito o di debito o di altro mezzo di pagamemA  A41                                                        E 
8798Conclusione del contratto di finanziamento di altra forma                                                                                                            A  A41                                                        E 
8799Conclusione del contratto di prestazione di servizi di altra forma                                                                                                   A  A41                                                        E 
